id;url;method;resource_name;tenant_id
1;https://ole.name;PUT;bypassing cyan port;1
2;http://nayeli.name;PATCH;Consultant payment;2
3;http://serenity.org;DELETE;index Flats;3
4;https://bell.net;PATCH;Manager Toys;4
5;http://roosevelt.com;PUT;Solutions Fantastic Investment Account;5
6;https://irving.info;PUT;approach Berkshire;6
7;http://caesar.info;GET;Sudanese Pound;7
8;http://tommie.biz;GET;Unbranded;8
9;https://cletus.com;PATCH;azure;9
10;https://vickie.biz;POST;Supervisor Ergonomic Fresh Pizza Buckinghamshire;10
